run,method,model,KS_avg,W1_avg,FrobCorrDist,SignMatch,AUC_TRTR,AUC_TSTR,AUC_TSTR_plus
3,BorderlineSMOTE,RF,0.029247126691254417,0.06258073113930435,0.5926720327657827,0.6666666666666666,0.640740856713427,0.6426384018036072,0.6505135270541084
3,BorderlineSMOTE,GBC,0.029247126691254417,0.06258073113930435,0.5926720327657827,0.6666666666666666,0.608191382765531,0.6073772545090179,0.6061341432865731
3,BorderlineSMOTE,HGBT,0.029247126691254417,0.06258073113930435,0.5926720327657827,0.6666666666666666,0.6408191382765531,0.644557865731463,0.615123997995992
3,ADASYN,LR,0.029467313898759437,0.06216207975745051,0.5916926434767827,0.6944444444444444,0.5433366733466933,0.5454095691382765,0.5444764529058117
3,ADASYN,RF,0.029467313898759437,0.06216207975745051,0.5916926434767827,0.6944444444444444,0.640740856713427,0.6499906062124249,0.6545184118236473
3,ADASYN,GBC,0.029467313898759437,0.06216207975745051,0.5916926434767827,0.6944444444444444,0.608191382765531,0.6199085671342686,0.6213489478957915
3,ADASYN,HGBT,0.029467313898759437,0.06216207975745051,0.5916926434767827,0.6944444444444444,0.6408191382765531,0.6364917334669338,0.6452091683366734
3,AZR,LR,0.051053689698382726,0.05635451274964065,0.5452082687741824,0.7777777777777778,0.5433366733466933,0.5072269539078156,0.5237725450901805
3,AZR,RF,0.051053689698382726,0.05635451274964065,0.5452082687741824,0.7777777777777778,0.640740856713427,0.5936779809619239,0.6332070390781563
3,AZR,GBC,0.051053689698382726,0.05635451274964065,0.5452082687741824,0.7777777777777778,0.608191382765531,0.5665424599198396,0.6129509018036072
3,AZR,HGBT,0.051053689698382726,0.05635451274964065,0.5452082687741824,0.7777777777777778,0.6408191382765531,0.5800914328657314,0.6531625751503005
4,SMOTE,LR,0.026874851952103013,0.055815495532695145,0.512634688064789,0.7222222222222222,0.5433366733466933,0.5493424348697394,0.5475450901803607
4,SMOTE,RF,0.026874851952103013,0.055815495532695145,0.512634688064789,0.7222222222222222,0.640740856713427,0.6439190881763528,0.6503413076152306
4,SMOTE,GBC,0.026874851952103013,0.055815495532695145,0.512634688064789,0.7222222222222222,0.608191382765531,0.6383391783567134,0.6344313627254509
4,SMOTE,HGBT,0.026874851952103013,0.055815495532695145,0.512634688064789,0.7222222222222222,0.6408191382765531,0.6366420340681362,0.650876753507014
4,BorderlineSMOTE,LR,0.0293241902339562,0.059600261466125945,0.6003390583093852,0.6944444444444444,0.5433366733466933,0.5439003006012024,0.5442510020040081
4,BorderlineSMOTE,RF,0.0293241902339562,0.059600261466125945,0.6003390583093852,0.6944444444444444,0.640740856713427,0.648305986973948,0.652501878757515
4,BorderlineSMOTE,GBC,0.0293241902339562,0.059600261466125945,0.6003390583093852,0.6944444444444444,0.608191382765531,0.6217873246492986,0.6152868236472946
4,BorderlineSMOTE,HGBT,0.0293241902339562,0.059600261466125945,0.6003390583093852,0.6944444444444444,0.6408191382765531,0.6361159819639278,0.6571768537074147
4,ADASYN,LR,0.029895692251087777,0.06354278403850072,0.6058907345355282,0.6666666666666666,0.5433366733466933,0.5405435871743487,0.5417334669338678
4,ADASYN,RF,0.029895692251087777,0.06354278403850072,0.6058907345355282,0.6666666666666666,0.640740856713427,0.6378350450901804,0.6454440130260523
4,ADASYN,GBC,0.029895692251087777,0.06354278403850072,0.6058907345355282,0.6666666666666666,0.608191382765531,0.6306675851703407,0.6165737725450902
4,ADASYN,HGBT,0.029895692251087777,0.06354278403850072,0.6058907345355282,0.6666666666666666,0.6408191382765531,0.6242547595190381,0.6216683366733466
4,AZR,LR,0.04736818928257834,0.05547186482611771,0.6181381844281896,0.75,0.5433366733466933,0.5157815631262525,0.5253381763527054
4,AZR,RF,0.04736818928257834,0.05547186482611771,0.6181381844281896,0.75,0.640740856713427,0.5729396292585169,0.6324805861723447
4,AZR,GBC,0.04736818928257834,0.05547186482611771,0.6181381844281896,0.75,0.608191382765531,0.5330097695390782,0.594557865731463
4,AZR,HGBT,0.04736818928257834,0.05547186482611771,0.6181381844281896,0.75,0.6408191382765531,0.5529058116232465,0.6087988476953907
